"ID","WEEK OF","EVENT","LOCATION","MIN SHIP NOTICE NAME","CATEGORY","INSP TYPE","START DATE","END DATE","%23 OF IIs PLANNED","%23 OF DAYS","UPDATED","STATUS","SI","RECORDER","NNSY SUPPORT","TI LEAD ACTIVITY","SHIP DATA LIST","CASE FILES"
"70","12/2/2024","IOWA SSN 797, CT (F-M)","GROTON, CT","IOWA SSN 797, CT (F-M)","[""SUB""]","CT","12/5/2024","12/8/2024",,"4","-UPDATE 12/12/24: Days of the inspection changed to F-M.

-UPDATE 11/19/24: Rescheduled to week of 02 DEC 24.

-UPDATE 9/18/2024: Event remains in TBD status, event anticipated to occur between weeks of 04 NOV 24 and 15 NOV 24.

-UPDATE 9/4/2024: Placed in TBD Status.

ADDED 6/26/2024","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]","SSN 797","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/SSN%20797%20(CT)?csf=1&web=1&e=K62beR"
"71","12/9/2024","IX 554, YC 1632, YC 1660, YON 328, MI (M-Th)","PEARL HARBOR, HI","IX 554, YC 1632, YC 1660, YON 328, MI (M-Th)","[""B&C""]","B&C MI","12/8/2024","12/11/2024",,"4","-UPDATE 11/13/24: Changed days of the inspection to M-Th.

-UPDATE 8/28/2024: Added YC 1660.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"72","12/9/2024","SSN, MI (Tu-F)","GROTON, CT","CALIFORNIA SSN 781, MI (Tu-F)","[""SUB""]","MI","12/9/2024","12/12/2024",,"4","<p>-UPDATE 3/13/24&#58; RESCHEDULED TO WEEK OF 09 DEC 24.<br></p><p>-UPDATE 12/5/23&#58; Rescheduled to week of 10 JUN 24.<br></p><p>​-UPDATE 6/23/23&#58; Rescheduled to week of 15 APR 24.<br></p><p>Added 1/13/23.<br></p>","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""RSG GROTON""]","SSN 781","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20790%20(MI)?csf=1&web=1&e=8V3V7n"
"73","12/9/2024","DDG (MI) (W-F)","YOKOSUKA, JAPAN","Higgins DDG 76 (MI) (W-F)","[""SURF""]","MI","12/10/2024","12/12/2024",,"3","-UPDATE 11/13/24: Days changed to W-F, dates corrected.

-UPDATE 9/11/24: Days of the inspection changed to Tu-Th.

-UPDATE 8/1/24: Days of the inspection changed to Tu-F.

ADDED 7/24/24.","[""RESCH""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)",,"Y","[""SRF""]","DDG 76","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG76_HIGGINS?csf=1&web=1&e=VE9fCo"
"74","12/16/2024","DDG FLT I, MI (M-W)","EVERETT, WA","JOHN S. MCCAIN DDG 56, MI (M-W)","[""SURF""]","MI","12/15/2024","12/17/2024",,"3","-UPDATE 8/1/24: Rescheduled to week of 16 DEC 24, changed days of the inspection to M-W.

<p>​Added 12/12/23.<br></p>","[""RESCH""]","Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","DDG 56","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG56_JOHN_S_MCCAIN?csf=1&web=1&e=0i2AmQ"
"75","12/16/2024","YRBM 8, YRBM 9, MI (W-F)","NORFOLK, VA","YRBM 8, YRBM 9, MI (W-F)","[""B&C""]","B&C MI","12/17/2024","12/19/2024",,"3","-UPDATE 12/19/24: Removed YD 250.

-UPDATE 11/6/24: Deleted APL 32, now W-F.

-UPDATE 7/25/24: RESCHEDULED TO WEEK OF 16 DEC 24.

-UPDATE 7/18/24: YD 250 ADDED.​

-UPDATE 4/3/24&#58; REMOVED APL 61, APL 68, IX 553, YC 1409, YC 1641, YD 257.","[""RESCH""]","Cleary, Brandon J LCDR USN PRESINSURV VA BCH VA (USA);Ozereko, Jarrod Micah CDR USN NIWC PACIFIC CA (USA)",,"Y",,,
"76","1/6/2025","DEL - YTT 11, MI (Tu-Th)","KEYPORT, WA","DEL - YTT 11, MI (Tu-Th)","[""B&C""]","B&C MI","1/6/2025","1/8/2025",,"3","- 1/10/25: DELETED.

-UPDATE 8/20/24: Rescheduled to week of 06 JAN 25.

-UPDATE 8/14/24: Deleted from INSURV Schedule.

-UPDATE 7/25/24: CHANGED DAYS OF THE INSPECTION TO TU-TH

<p>-UPDATE 1/23/24&#58; RESCHEDULED TO WEEK OF 19 AUG 24.<br></p><p>-UPDATE 10/10/23&#58; Rescheduled to week of 25 MAR 24.<br></p><p>​-UPDATE 6/15/23&#58; Rescheduled to week of 11 MAR 24.<br></p><p>-UPDATE 3/31/23&#58; Rescheduled to week of 25 SEP 23.<br></p><p>8/9/22 resched.&#160;8/4/22 Added<br></p>","[""DEL""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Medina, Christopher A CIV USN PRESINSURV VA BCH VA (USA)","Y",,,
"77","1/6/2025","SBX, SMART (7-13JAN)","PEARL HARBOR, HI","SBX 1, SMART (7-13JAN)","[""MSC""]","SMART","1/6/2025","1/12/2025",,"7","-UPDATE 8/1/24: Rescheduled to week of 06 JAN 25.

<p>-UPDATE 6/4/24&#58; RESCHEDULED TO WEEK OF 09 DEC 24, LOCATION CHANGED TO PEARL HARBOR, HI.</p><p>-UPDATE 5/7/24&#58; LOCATION CHANGED TO TBD LOCATION.<br></p><p>​ADDED 4/2/2024<br></p>","[""RESCH""]","Isaacson, Cary J CAPT USN PRESINSURV VA BCH VA (USA);Lensegrav, Craig T CDR USN PRESINSURV VA BCH VA (USA);Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,,,,
"78","1/6/2025","DEL - IX 536, MI (Tu-Th)","BREMERTON, WA","DEL - IX 536, MI (Tu-Th)","[""B&C""]","B&C MI","1/6/2025","1/8/2025",,"3","1/10/25: DELETED

-UPDATE 8/20/24: Rescheduled to week of 06 JAN 25.

-UPDATE 7/26/24: CHANGED DAYS OF THE INSPECTION.

ADDED 7/3/24.","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,,,,
"79","1/13/2025","IX 536, YC 1524, YC 1573, YC 1577, YC 1578, YFN 973, YFN 1274, YFNX 45, YFNX 46, MI (M-F)","BREMERTON, WA","IX 536, YC 1524, YC 1573, YC 1577, YC 1578, YFN 973, YFN 1274, YFNX 45, YFNX 46, MI (M-F)","[""B&C""]","B&C MI","1/12/2025","1/16/2025",,"5","-1/10/25: Re-added IX 536.

-UPDATE 7/3/24: REMOVED IX 536, RESCHEDULED TO WEEK OF 13 JAN 25.

<p>-UPDATE 5/29/24&#58; REMOVED YC 1674, AND YC 1663.</p><p>​-UPDATE 8/31/23&#58; Removed YC 800, YC 804, YC 1469,&#160;YC 1477, YC 1490, YC 1569, YC 1570,&#160;and&#160;YC 1571.<br></p>","[""RESCH""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Manangan, Edgar F CIV USN PRESINSURV VA BCH VA (USA)","Y",,,
"80","1/13/2025","T-AKR, SMART (13-17JAN)","Chinhae, SK","Dahl T-AKR 312 (13-17JAN)","[""MSC""]","SMART","1/12/2025","1/16/2025",,"5","-UPDATE 11/6/24: Location changed to Chinhae, SK.

Added 7/31/24.",,"Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AKR 312",
"81","1/13/2025","DDG FLT IIA (MI) (Tu-Th)","SAN DIEGO, CA","Pinckney DDG 91 (MI) (Tu-Th)","[""SURF""]","MI","1/13/2025","1/15/2025",,"3","-UPDATE 9/11/24: Days of the inspection changed to Tu-Th.

-UPDATE 8/1/24: Changed days of the inspection to Tu-F.

<p>​-UPDATE 7/19/2023&#58; Rescheduled to week of 13 JAN 25.<br></p><p>Added 3/31/23.<br></p>","[""RESCH""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","DDG 91","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG91_PINCKNEY?csf=1&web=1&e=FI1ar0"
"82","1/13/2025","IX 553, YC 1409, YD 257, MI (Tu-Th)","NORFOLK, VA","IX 553, YC 1409, YD 257, MI (Tu-Th)","[""B&C""]","B&C MI","1/13/2025","1/15/2025",,"3","-UPDATE 11/19/24: Removed YC 1641.

-UPDATE 7/3/24: RESCHEDULED TO WEEK OF 13 JAN 25.

<p>​-UPDATE 4/3/24&#58; RESCHEDULED TO WEEK OF 20 JAN 25.<br></p>","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"83","1/27/2025","EODESU 1 Audit","San Diego, CA","EODESU 1 Audit","[""BOAT AUDIT""]","Boat Audit","1/26/2025","1/30/2025",,"5","Added 8/1/24.",,"Austin, Howard J Jr CWO5 USN PRESINSURV VA BCH VA (USA)",,,,,
"84","1/27/2025","LHA (MI) (M-Th)","San Diego, CA","Tripoli LHA 7 (MI) (M-Th)","[""SURF""]","MI","1/26/2025","1/29/2025",,"4","-UPDATE 11/26/24: Days of the inspection now M-Th.

Added 9/11/24.",,,"Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LHA 7","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LHA%20CASE/LHA7_TRIPOLI?csf=1&web=1&e=zxitO5"
"85","1/6/2025","DEL - T-AKE, SMART (27-31JAN)","NORFOLK, VA","DEL - ROBERT E. PEARY, T-AKE 5, SMART, NORFOLK, VA (27-31JAN)","[""MSC""]","SMART","1/26/2025","1/30/2025",,"5","-1/22/25: DELETED.

-UPDATE 1/10/25: Rescheduled to 27 JAN 25.

-UPDATE 12/19/24: Placed in TBD status.

-UPDATE 11/6/24: Rescheduled to week of 06 JAN 25.

<p>- UPDATE 3/26/24&#58; RESCHEDULED TO WEEK OF 16 DEC 24.<br></p><p>-UPDATE 12/5/23&#58; Rescheduled to week of 15 APR 24.<br></p><p>​-UPDATE 11/21/23&#58; Rescheduled to week of 29 JAN 24.<br></p><p>8/29/22 Added<br></p>","[""DEL""]","Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AKE 5",
"86","1/27/2025","SSN (MI) (Tu-F)","BANGOR, WA","SEAWOLF SSN 21 (MI) (Tu-F)","[""SUB""]","MI","1/27/2025","1/30/2025",,"4","-UPDATE 12/19/24: Shifted left several days, days changed to Tu-F.

ADDED 7/24/24.",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)","Arnette, Johnny M III LCDR USN PRESINSURV VA BCH VA (USA)",,"[""NWRMC""]","SSN 21","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%2021%20(MI)?csf=1&web=1&e=uI3or9"
"87","2/3/2025","DEL - APALACHICOLA EPF 13, FCT (Su/M-F)","LITTLE CREEK, VA ","DEL - APALACHICOLA EPF 13, FCT (Su/M-F)","[""TRIAL""]","FCT","2/1/2025","2/6/2025",,"6","-1/22/25: DELETED

- 1/10/25: Placed in TBD status.

-UPDATE 10/9/24: Day zero changed to Su, Day 1-5 of the inspection now occuring 03-07 FEB 25.

-UPDATE 6/26/24: RESCHEDULED TO WEEK OF 03 FEB 25.

<p>-UPDATE 12/19/23&#58; Rescheduled to week of 19 AUG 23.<br></p><p>

-UPDATE 10/17/23&#58; Rescheduled to week 12 AUG 23.<br></p><p>

-UPDATE 6/1/23&#58; Rescheduled to week of 11 MAR 24; removed from TBD status.<br></p><p>

-UPDATE 3/31/23&#58; Rescheduled to week of 27 NOV 23; placed in TBD status.<br></p><p>

​-UPDATE 1/06/23&#58; Rescheduled to week of 04 SEP 23.<br></p><p>-

UPDATE 12/9/22&#58; Placed in TBD status.</p><p>9/1/22 Added<br></p>","[""DEL""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA);Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)","Y","[""NSWCPD""]",,
"88","2/3/2025","CODY T-EPF 14, FCT (Su/M-F)","LITTLE CREEK, VA","CODY T-EPF 14, FCT (Su/M-F)","[""TRIAL""]","FCT","2/1/2025","2/6/2025",,"6","-UPDATE 1/10/25: Rescheduled to week of 03 FEB 25.

-UPDATE 10/9/24: Rescheduled to week of 06 JAN 25, day zero changed to Su, Day 1 to 5 now 06-10 JAN 25.

<p>-UPDATE 10/24/23&#58; Rescheduled to week of 04 NOV 24.<br></p><p>​-UPDATE&#160;10/17/2023&#58; Rescheduled to week of 21 OCT 24.<br></p><p>Added 8/31/23.<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","T-EPF 14",
"89","2/2/2025","CTG 56.1 (MI) (Tu-Th)","UAE","CTG 56.1 (MI) (Tu-Th)","[""B&C""]","B&C MI","2/1/2025","2/1/2025","6","1","Added 8/7/25.",,,,,,,
"90","2/3/2025","USCG OARS Audit","2/3/2025","USCG OARS Audit","[""B&C""]","Boat Audit","2/2/2025","2/6/2025",,"5","Added 12/19/24.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"91","2/3/2025","YC 1477, YC 1490, YC 1570, YC 1571, YRBM 30, MI (Tu-Th)","BREMERTON, WA","YC 1477, YC 1490, YC 1570, YC 1571, YRBM 30, MI (Tu-Th)","[""B&C""]","B&C MI","2/3/2025","2/5/2025",,"3","-UPDATE 12/19/24: Deleted APL 62.

-UPDATE 7/17/24: ADDED YC 1477, YC 1490, YC 1570, YC 1571.

-UPDATE 7/12/24: LOCATION CHANGED TO BREMERTON, WA.

<p>​ADDED 1/31/24.<br></p>",,"Ozereko, Jarrod Micah CDR USN NIWC PACIFIC CA (USA)",,"Y",,,
"92","2/3/2025","DEL - DDG FLT IIA, MI (Tu-Th)","PEARL HARBOR, HI","DEL - DANIEL INOUYE DDG 118, MI (Tu-Th)","[""SURF""]","MI","2/3/2025","2/5/2025",,"3","-1/10/25: DELETED

-UPDATE 12/12/24: Changed days of the inspection to Tu-Th.

-UPDATE 10/1/24: Changed days of the inspection.

<p>-UPDATE 10/17/2023&#58; Location changed to Pearl Harbor, HI.<br></p><p>​Added 7/19/2023.<br></p>","[""DEL""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""SWRMC""]","DDG 118","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG118_DANIEL_INOUYE?csf=1&web=1&e=rlD1ot"
"93","2/10/2025","DDG FLT IIA, MI (Tu-F)","NORFOLK, VA","BAINBRIDGE DDG 96, MI (Tu-F)","[""SURF""]","MI (MSSI)","2/10/2025","2/13/2025",,"4","<div>-UPDATE 4/2/2024&#58; RESCHEDULED TO WEEK OF 10 FEB 25.<br></div><div><br></div><div>-UPDATE 3/13/24&#58; PLACED IN TBD STATUS DUE TO DELETION FROM INSURV SCHEDULE, UNDERGOING RESCHEDULING EFFORTS.<br></div><div><br></div><div>-UPDATE 12/19/23&#58; Rescheduled to week of 24 JUN 24.<br></div><div><br></div><div>-UPDATE 7/19/23&#58; Rescheduled to 15 APR 24.<br></div><div><br></div><div>UPDATE 11/18/22&#58; Removed from TBD status.<br></div>5/19/22 resched.&#160;3/16/22 Add<br>","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""MARMC""]","DDG 96","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG96_BAINBRIDGE?csf=1&web=1&e=dM2fp2"
"94","2/10/2025","APL 66/68, YRBM 33 (MI) (Tu-Th)","NORFOLK, VA","APL 66/68, YRBM 33 (MI) (Tu-Th)","[""B&C""]","B&C MI","2/10/2025","2/12/2025",,"3","-UPDATE 8/28/24: Removed YR 29, added YRBM 33.

-UPDATE 8/1/24: Rescheduled to week of 10 FEB 25.

-UPDATE 7/3/24: REMOVED APL 29 AND APL 61.

<p>​ADDED 4/3/24.<br></p>","[""RESCH""]",,,"Y",,,
"95","2/10/2025","ACU 1 - LCU 1632/1648, MI (Tu-Th)","SAN DIEGO, CA","ACU 1 - LCU 1632/1648, MI (Tu-Th)","[""B&C""]","B&C MI","2/10/2025","2/12/2025",,"3","<p>​-UPDATE 4/9/2024&#58; ADDED LCU 1632.<br></p><p>ADDED 3/5/24.<br></p>",,"Ozereko, Jarrod Micah CDR USN NIWC PACIFIC CA (USA);Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Medina, Christopher A CIV USN PRESINSURV VA BCH VA (USA)",,,,
"96","2/10/2025","LCAC 112 (AT) (Tu-F) New Orleans, LA","New Orleans, LA","LCAC 112 (AT) (Tu-F) New Orleans, LA","[""TRIAL""]","AT","2/10/2025","2/13/2025",,"4","-2/06/25: Resked to week of 10 FEB 25. removed from TBD status.

-1/22/25: Resked to week of 20 JAN 25, placed in TBD.

Added 12/26/2024.","[""RESCH""]","Seriki, Oluyemisi H CDR USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]",,
"97","2/17/2025","EODESU 1 Audit","Pearl Harbor, HI","EODESU 1 Audit","[""BOAT AUDIT""]","Boat Audit","2/16/2025","2/20/2025",,"5","Added 8/1/24.",,,,,,,
"98","2/23/2025","Point Loma T-EPF 15 (FCT) (Su/M-F)","Mobile, AL","Point Loma T-EPF 15 (FCT) (Su/M-F)","[""TRIAL""]","FCT","2/21/2025","2/26/2025","20","6","Added 6/25/25.",,,,,"[""NSWCPD""]","T-EPF 15",
"99","2/23/2025","Point Loma T-EPF 15 (FCT) (Su/M-F)","Mobile, AL","Point Loma T-EPF 15 (FCT) (Su/M-F)","[""TRIAL""]","FCT","2/21/2025","2/26/2025","20","6","Added 7/16/25.",,"Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","T-EPF 15",
"100","2/24/2025","T-AO (24-28FEB) ","NORFOLK, VA","Lenthall T-AO 189 (24-28FEB) ","[""MSC""]","SMART","2/23/2025","2/27/2025",,"5","-UPDATE 9/11/24: Rescheduled to week of 24 FEB 25.

-UPDATE 8/1/24: Changed days of inspection to 03-07 MAR 25.

<p>-UPDATE 4/2/24&#58; RESCHEDULED TO WEEK OF 03 MAR 25.<br></p><p>-UPDATE 2/29/24&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGOING RESCHEDULING EFFORTS.<br></p><p>​-UPDATE 1/31/24&#58; RESCHEDULED TO WEEK OF 18 MAR 24.<br></p><p>ADDED 1/16/24.<br></p>","[""RESCH""]","Hobbs, Ean P (Bruce Banner) CDR USN PRESINSURV VA BCH VA (USA);Lensegrav, Craig T CDR USN PRESINSURV VA BCH VA (USA);Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)",,,,"T-AO 189",
