"ID","WEEK OF","EVENT","LOCATION","MIN SHIP NOTICE NAME","CATEGORY","INSP TYPE","START DATE","END DATE","%23 OF IIs PLANNED","%23 OF DAYS","UPDATED","STATUS","SI","RECORDER","NNSY SUPPORT","TI LEAD ACTIVITY","SHIP DATA LIST","CASE FILES"
"101","2/24/2025","SSN (MI) (M-Th)","NORFOLK, VA","NEW HAMPSHIRE SSN 778 (MI) (M-Th)","[""SUB""]","MI","2/23/2025","2/26/2025",,"4","ADDED 7/24/24.",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)","Bailey, Derek R LCDR USN NAVNUPWRTRAUMTS 1 SC (USA)",,"[""MARMC""]","SSN 778","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20778%20(MI)?csf=1&web=1&e=2B5i6h"
"102","2/24/2025","NBU 7 - LCAC 08, LCAC 82, LCU 1631, LCU 1633 (MI) (M-Th)","Sasebo, Japan","NBU 7 - LCAC 08, LCAC 82, LCU 1631, LCU 1633 (MI) (M-Th)","[""B&C""]","B&C MI","2/23/2025","2/26/2025",,"4","-1/10/25: Days changed to M-Th.

Added 10/9/24.",,"Rashed, Mostafamohamed I CDR USN PRESINSURV VA BCH VA (USA)",,,,,
"103","2/24/2025","DEL - LCS, MI (Tu-F)","SAN DIEGO, CA","DEL - GABRIELLE GIFFORDS LCS 10, MI (Tu-F)","[""SURF""]","MI (MSSI)","2/24/2025","2/27/2025",,"4","-UPDATE 12/30/24: Deleted from INSURV Schedule.

-UPDATE 7/17/24: CHANGED DAYS OF THE INSPECTION TO Tu-F.

<p>-UPDATE 4/3/24&#58; RESCHEDULED TO WEEK OF 24 FEB 25.<br></p><p>​Added 12/12/2023.<br></p>","[""DEL""]","Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LCS 10","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS10_GABRIELLE_GIFFORDS?csf=1&web=1&e=brGNfe"
"104","3/3/2025","DEL - T-AO, SMART","NORFOLK, VA","DEL - PATUXENT T-AO 201 (16-20DEC)","[""MSC""]","SMART","3/2/2025","3/6/2025","1","5","-UPDATE 2/18/25: Deleted from INSURV Schedule.

-UPDATE 10/9/24: Rescheduled to week of 03 MAR 25.

<p>​ADDED 4/3/2024<br></p>","[""DEL""]","Reed, Gary L CDR USN COMNAVRESFORCOM VA (USA)",,,,"T-AO 201",
"105","3/3/2025","EOD 2 Audit","Panama City, FL","EOD 2 Audit","[""BOAT AUDIT""]","Boat Audit","3/2/2025","3/6/2025",,"5","Added 8/1/24.",,,,,,,
"106","3/3/2025","LSD, MI (Tu-Th)","Little Creek, VA","OAK HILL, LSD 51, MI (Tu-Th)","[""SURF""]","MI","3/3/2025","3/5/2025","59","3","-UPDATE 01/27/25: Days changed to Tu-Th.

-UPDATE 11/6/24: Days changed to M-F.

-UPDATE 8/28/2024: Rescheduled to week of 03 MAR 25, location changed to Little Creek, VA.

<p>​UPDATE 10/17/2023&#58; Rescheduled to week of 10 FEB 25.<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""MARMC""]","LSD 51","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LSD%20CASE/LSD51_OAK_HILL?csf=1&web=1&e=VeBQFw"
"107","3/3/2025","YRBM 58 (AT) (Tu-Th)","Morgan City, LA","YRBM 58 (AT) (Tu-Th)","[""B&C""]","AT","3/3/2025","3/5/2025","10","3","-2/18/25: Rescheduled to week of 03 MAR 25.

-1/10/25: Days changed to Tu-Th.

- UPDATE 12/19/24: Rescheduled to week of 24 MAR 25.

Added 10/16/2024.","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)","Vargas, Joaquin CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]",,
"108","3/10/2025","DEL - Harvey C. Barnum Jr. DDG 124 (I&U) (M-F)","Bath, ME","DEL - Harvey C. Barnum Jr. DDG 124 (I&U) (M-F)","[""TRIAL""]","I&U","3/9/2025","3/13/2025",,"5","-2/6/2025: Deleted from INSURV Schedule.

-UPDATE 1/22/25: Location changed to Bath, ME

Added 12/19/24.","[""DEL""]","Evans, Paul C CIV USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","DDG 124","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG124_HARVEY_C_BARNUM_JR?csf=1&web=1&e=ulSNp4"
"109","3/10/2025","DEL - YC 1584, YC 1667, YRBM 24/42/45, MI (Tu-Th)","MAYPORT, FL","DEL - YC 1584, YC 1667, YRBM 24/42/45, MI (Tu-Th)","[""B&C""]","B&C MI","3/10/2025","3/12/2025","8","3","-3/12/25: Deleted from INSURV Schedule.

-UPDATE 10/16/2024: Rescheduled to week of 10 MAR 25.

-UPDATE 7/12/24: REMOVED YRBM 21.

-UPDATE 6/26/2024: ADDED YC 1584 AND YC 1667.

<p>​-UPDATE 4/9/2024&#58; ADDED YRBM 24, and YRBM 42.<br></p><p>ADDED 4/3/24.<br></p>","[""DEL""]","Cleary, Brandon J LCDR USN PRESINSURV VA BCH VA (USA)","Manangan, Edgar F CIV USN PRESINSURV VA BCH VA (USA)","Y",,,
"110","3/10/2025","YP 688, YP 692, YP 695, YP 700, YP 705, YP 706 (MI) (Tu-Th)","Annapolis, MD","YP 688, YP 692, YP 695, YP 700, YP 705, YP 706 (MI) (Tu-Th)","[""B&C""]","B&C MI","3/10/2025","3/12/2025","10","3","-UPDATE 2/18/25: Added YP 695, 700, removed YP 707.

-UPDATE 12/19/24: Rescheduled to week of 10 MAR 25.

Added 8/1/24.","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)","Holmes, Daniel M SCPO USN PRESINSURV VA BCH VA (USA)","Y",,,
"111","3/17/2025","YD 254, MI (Tu-Th)","SAN DIEGO, CA","YD 254, MI (Tu-Th)","[""B&C""]","B&C MI","3/17/2025","3/19/2025","7","3","-UPDATE 7/12/24: RESCHEDULED TO WEEK OF 17 MAR 25.

-UPDATE 7/3/2024: RESCHEDULED TO WEEK OF 10 FEB 25.

-UPDATE 6/26/26: RESCHEDULED TO WEEK OF 28 OCT 24.

<p>​-UPDATE 1/31/24&#58; RESCHEDULED TO WEEK OF 12 AUG 24.<br></p><p>ADDED 12/14/23.<br></p>","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)","Manangan, Edgar F CIV USN PRESINSURV VA BCH VA (USA)",,,,
"112","3/17/2025","114SC0901 RSC-1, 114SC1201 RSC-4, MI (Tu-Th)","POINT LOMA, CA","114SC0901 RSC-1, 114SC1201 RSC-4, MI (Tu-Th)","[""B&C""]","B&C MI","3/17/2025","3/19/2025","10","3","-UPDATE 8/20/2024: Rescheduled to week of 17 MAR 25.

-UPDATE 8/14/24: Deleted from INSURV Schedule.

<p>-UPDATE 4/17/24&#58; RESCHEDULED TO WEEK OF 23 SEP 24.<br></p><p>-UPDATE 4/9/24&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGOING RESCHEDULING EFFORTS.<br></p><p>​UPDATE 9/12/23&#58; Rescheduled to week of 08 APR 24.<br></p>","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)","Manangan, Edgar F CIV USN PRESINSURV VA BCH VA (USA)",,,,
"113","3/17/2025","DDG FLT IIA, MI (Tu-F)","SAN DIEGO, CA","SPRUANCE DDG 111, MI (Tu-F)","[""SURF""]","MI (MSSI)","3/17/2025","3/20/2025","50","4","-UPDATE 7/17/24: CHANGED DAYS OF THE INSPECTION TO Tu-F.

<p>​Added 7/19/2023.<br></p>",,"Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""SWRMC""]","DDG 111","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG111_SPRUANCE?csf=1&web=1&e=IJ2Sxg"
"114","3/17/2025","MSRON 10 x5 (MI) (Tu-Th)","Little Creek, VA","MSRON 10 x5 (MI) (Tu-Th)","[""B&C""]","B&C MI","3/17/2025","3/19/2025","5","3","Added 8/1/24.",,,"Manangan, Edgar F CIV USN PRESINSURV VA BCH VA (USA)",,,,
"115","3/24/2025","EODESU 2 Audit","Little Creek, VA","EODESU 2 Audit","[""BOAT AUDIT""]","Boat Audit","3/23/2025","3/27/2025","1","5","Added 8/1/24.",,,,,,,
"116","3/24/2025","Cody T-EPF 14 (RT) (M-F)","Little Creek, VA","Cody T-EPF 14 (RT) (M-F)","[""TRIAL""]","RT","3/23/2025","3/27/2025","6","5","Added 3/5/25.",,"Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","T-EPF 14","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/EPF%20CASE/EPF14_CODY?csf=1&web=1&e=qezdXW"
"117","3/24/2025","Virginia Anne 87MNS1601 (MI) (Tu-Th)","New Foundland, Canada","Virginia Anne 87MNS1601 (MI) (Tu-Th)","[""B&C""]","B&C MI","3/24/2025","3/26/2025","10","3","-2/6/25: Location changed to New Foundland, Canada.

-UPDATE 11/6/24: Rescheduled to week of 24 MAR 25.

ADDED 7/25/24.","[""RESCH""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,
"118","3/31/2025","LCS, MI (Tu-F)","SAN DIEGO, CA","CINNCINATI LCS 20, MI (Tu-Th)","[""SURF""]","MI (MSSI)","3/31/2025","4/2/2025","45","3","-UPDATE 12/19/24: Changed days to Tu-Th.

-UPDATE 7/25/24: RESCHEDULED TO WEEK OF 31 MAR 25.

-UPDATE 7/17/24: CHANGED DAYS OF THE INSPECTION TO Tu-F.

<p>​-UPDATE 7/19/23&#58; Rescheduled to week of 24 MAR 25.<br></p><p>Added 3/31/23.<br></p>","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LCS 20","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS20_CINNCINATI?csf=1&web=1&e=VqtC51"
"119","3/31/2025","192UB8701, 74MNS1001 (MI) (Tu-Th)","ANDROS ISLAND, BA","192UB8701, 74MNS1001 (MI) (Tu-Th)","[""B&C""]","B&C MI","3/31/2025","4/2/2025","10","3","ADDED 7/18/24.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,
"120","3/31/2025","T-AKE, SMART (03-07APR)","WASHINGTON TBD","WASHINGTON CHAMBERS, T-AKE 11, SMART (03-07APR)","[""MSC""]","SMART","4/2/2025","4/6/2025","2","5","-UPDATE 3/5/2025: Rescheduled to week of 31 MAR 25.

-UPDATE 9/4/2024: Rescheduled to week of 24 MAR 25.

-UPDATE 8/1/24: Changed dates to 26-30 SEP 24

<p>-UPDATE 8/3/23&#58; Rescheduled to week of 23SEP24.<br></p><p>​Added 8/29/22<br></p>","[""RESCH""]","Isaacson, Cary J CAPT USN PRESINSURV VA BCH VA (USA);Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)",,,,"T-AKE 11",
"121","4/7/2025","DEL - HARVEY C. BARNUM, JR, DDG 124, AT (Su/M-F)","BATH, ME","DEL - HARVEY C. BARNUM, JR, DDG 124, AT (Su/M-F)","[""TRIAL""]","AT","4/5/2025","4/10/2025",,"6","-2/6/25: Deleted from INSURV Schedule.

-1/22/25: Placed in TBD status.

-UPDATE 10/2/24: Rescheduled to week of 07 APR 25.

-UPDATE 9/18/24: Deleted from INSURV Schedule.

<p>-UPDATE 10/17/2023&#58; Rescheduled to week of 20 JAN 25.<br></p><p>​8/15/2022 Added<br></p>","[""DEL""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA);Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","DDG 124","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG124_HARVEY_C_BARNUM_JR?csf=1&web=1&e=hQTUY8"
"122","4/7/2025","AS SMART (M-Sa)","Guam","Frank Cable AS 40 (SMART) (M-Sa)","[""SURF""]","SMART","4/6/2025","4/11/2025","15","6","-1/22/25: Removed from TBD status resked to 07 APR 25.

Added 9/11/24.","[""RESCH""]","Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,"Y","[""SWRMC""]","AS 40",
"123","4/7/2025","ACU 1 - 1646, MI (Tu-Th)","SAN DIEGO, CA","ACU 1 - 1646, MI (Tu-Th)","[""B&C""]","B&C MI","4/7/2025","4/9/2025","10","3","-UPDATE 9/25/24: Deleted LCU 1630.

<p>​-UPDATE 4/9/24&#58; ADD LCU 1630.<br></p><p>ADDED 3/5/24.<br></p>",,"Austin, Howard J Jr CWO5 USN PRESINSURV VA BCH VA (USA)","Medina, Christopher A CIV USN PRESINSURV VA BCH VA (USA)",,,,
"124","4/7/2025","MSRON 1/3 x2 (MI) (Tu-Th)","SAN DIEGO, CA","MSRON 1/3 x2 (MI) (Tu-Th)","[""B&C""]","B&C MI","4/7/2025","4/9/2025","6","3","-UPDATE 9/4/2024: Rescheduled to week of 07 APR 25.

-UPDATE 8/20/2024: Rescheduled to week of 21 APR 25.

ADDED 7/12/2024.","[""RESCH""]",,,,,,
"125","4/7/2025","LCAC 90 (ESLEP AT) (Tu-W)","Camp Pendleton, CA","LCAC 90 (ESLEP AT) (Tu-W)","[""B&C""]","AT","4/7/2025","4/8/2025","1","2","Added 3/12/25.",,"Seriki, Oluyemisi H CDR USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]",,
"126","4/14/2025","EODESU 1 Audit","San Diego, CA","EODESU 1 Audit","[""BOAT AUDIT""]","Boat Audit","4/13/2025","4/17/2025","1","5","Added 8/1/24.",,,,,,,
"127","4/14/2025","DEL - Pierre LCS 38 (I&U) (M-F)","Mobile, AL","DEL - Pierre LCS 38 (I&U) (M-F)","[""TRIAL""]","I&U","4/13/2025","4/17/2025","3","5","-4/16/25: Deleted from INSURV Schedule.

-2/18/25: Rescheduled to week of 14 APR 25.

Added 12/19/24.","[""DEL""]","Evans, Paul C CIV USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 38","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS38_PIERRE?csf=1&web=1&e=PbgMo6"
"128","4/14/2025","LPD, MI (Tu-F)","NORFOLK, VA","NEW YORK LPD 21, MI (Tu-F)","[""SURF""]","MI (MSSI)","4/14/2025","4/17/2025","59","4","-UPDATE 01/27/25: Rescheduled to week of 4/14/25, Tu-F.

-UPDATE 11/6/24: Inspection now M-F.

<div>-UPDATE 10/17/23&#58; Rescheduled to week of 03 MAR 25.<br></div><div><br></div><div>UPDATE 9/26/23&#58; Deleted from schedule, placed in TBD status due to undergoing rescheduling efforts.<br></div><div><br></div><div>5/10/22&#160;resched. 5/3/22 Placed in TBD status,&#160;2/2/22 Added<br></div>","[""RESCH""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""MARMC""]","LPD 21","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LPD%20CASE/LPD21_NEW_YORK?csf=1&web=1&e=7SWK67"
"129","4/14/2025","YDT 17, YDT 18 (MI) (Tu-Th)","PANAMA CITY, FL","YDT 17, YDT 18 (MI) (Tu-Th)","[""B&C""]","B&C MI","4/14/2025","4/16/2025","10","3","ADDED 7/18/24.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Encarnacion, Romeo J CIV USN PRESINSURV VA BCH VA (USA)",,,,
"130","4/14/2025","Jack H. Lucas DDG 125 (RT) (W)","San Diego, CA","Jack H. Lucas DDG 125 (RT) (W)","[""TRIAL""]","RT","4/15/2025","4/15/2025","1","1","-UPDATE 11/26/24: Inspection is now only on W.

Added 11/19/24.",,"Clayton, Jeffrey W LCDR USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","DDG 125","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG125_JACK_H_LUCAS?csf=1&web=1&e=NCNkpf"
"131","4/20/2025","YD 259 (MI) (Tu-Th)","Silverdale WA","YD 259 (MI) (Tu-Th)","[""B&C""]","B&C MI","4/20/2025","4/22/2025","8","3","Added 8/7/25.",,,,,,,
"132","4/21/2025","LPD, MI (Tu-F)","SAN DIEGO, CA","SOMERSET LPD 25, MI (Tu-F)","[""SURF""]","MI (MSSI)","4/21/2025","4/24/2025","59","4","-UPDATE 3/12/25: Rescheduled to week of 21 APR 25, removed from TBD status.

-UPDATE 3/5/2025: Placed in TBD status.

-UPDATE 12/19/24: Days changed to Tu-F.

-UPDATE 10/23/24: Inspection now M-F.

-UPDATE 8/14/24: Changed days of the inspection to Tu-F.

<p>​-UPDATE 4/3/24&#58; RESCHEDULED TO WEEK OF 07 APR 25.<br></p><p>Added 12/14/23.<br></p>","[""RESCH""]","Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LPD 25","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LPD%20CASE/LPD25_SOMERSET?csf=1&web=1&e=gWgyCk"
"133","4/21/2025","T-AOE, SMART (22-27APR)","NORFOLK, VA","SUPPLY, T-AOE 6, SMART (22-27APR)","[""MSC""]","SMART","4/21/2025","4/26/2025","2","6","<p>​-UPDATE 5/7/2024&#58; LOCATION CHANGED TO NORFOLK, VA.<br></p><p>-UPDATE 4/3/24&#58; RESCHEDULED TO WEEK OF 21 APR 25.<br></p><p>Added 8/3/23<br></p>","[""RESCH""]","Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA);Hobbs, Ean P (Bruce Banner) CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AOE 6",
"134","4/21/2025","ACU 2 - LCU 1661, MI (Tu-Th)","LITTLE CREEK, VA","ACU 2 - LCU 1661, MI (Tu-Th)","[""B&C""]","B&C MI","4/21/2025","4/23/2025","10","3","<p>​Added 8/25/2023.<br></p>",,"Austin, Howard J Jr CWO5 USN PRESINSURV VA BCH VA (USA)","Austin, Howard J Jr CWO5 USN PRESINSURV VA BCH VA (USA)","Y",,,
"135","4/21/2025","Kingsville LCS 36 (Watermist) (F)","San Diego, CA","Kingsville LCS 36 (Watermist) (F)","[""TRIAL""]","Watermist","4/24/2025","4/24/2025","1","1","Added 1/22/25.",,"Evans, Paul C CIV USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 36","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS36_KINGSVILLE?csf=1&web=1&e=qWK2vC"
"136","4/28/2025","MSRON 2 x6 (MI) (Tu-Th)","VIRGINIA BEACH, VA","MSRON 2 x6 (MI) (Tu-Th)","[""B&C""]","B&C MI","4/28/2025","4/30/2025","6","3","-UPDATE 12/19/24: Rescheduled to week of 28 APR 25, days changed to Tu-Th.

-UPDATE 8/28/24: Days of the inspection changed to M-W.

ADDED 7/12/24.","[""RESCH""]",,"Vargas, Joaquin CIV USN PRESINSURV VA BCH VA (USA)",,,,
"137","4/28/2025","LCAC 113 (AT) (Tu-F)","New Orleans, LA","LCAC 113 (AT) (Tu-F)","[""B&C""]","AT","4/28/2025","5/1/2025","10","4","Added 2/6/2025.",,"Seriki, Oluyemisi H CDR USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]",,
"138","4/28/2025","Warrior MCM 10 (MI) (Th/F-Su)","SASEBO, JAPAN","Warrior MCM 10 (MI) (Th/F-Su)","[""SURF""]","MI","4/30/2025","5/3/2025","20","4","ADDED 7/24/24.",,"Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SRF""]","MCM 10","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/MCM%20CASE/MCM10_WARRIOR?csf=1&web=1&e=BMCzpn"
"139","5/5/2025","JOHN BASILONE, DDG 122, FCT (Su/M-F)","MAYPORT, FL","JOHN BASILONE, DDG 122, FCT (Su/M-F)","[""TRIAL""]","FCT","5/3/2025","5/8/2025","29","6","<p>-UPDATE 3/13/24&#58; RESCHEDULED TO WEEK OF 05 MAY 25.<br></p><p>-UPDATE 10/17/2023&#58; Rescheduled for week of 10 MAR 25.<br></p><p>​-UPDATE 8/25/23&#58; Deleted from schedule, undergoing rescheduling efforts.<br></p><p>8/15/22 Added<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)","Y","[""NSWCPD""]","DDG 122","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG122_JOHN_BASILONE?csf=1&web=1&e=fUJysA"
"140","5/5/2025","UCT 1 Audit","Little Creek, VA","UCT 1 Audit","[""BOAT AUDIT""]","Boat Audit","5/4/2025","5/8/2025","1","5","Added 8/1/24.",,,,,,,
"141","5/5/2025","T-AKE SMART (05-09MAY)","Guam","Richard E. Byrd T-AKE 4 (05-09MAY)","[""MSC""]","SMART","5/4/2025","5/8/2025","1","5","-4/23/25: Rescheduled to week of 05 MAY 25.

Added 3/20/25.","[""RESCH""]","Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AKE 4","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SMART%20CASE/T-AK_E_R/T-AKE4_BYRD?csf=1&web=1&e=naGnur"
"142","5/5/2025","DEL - Cooperstown LCS 23 (RT) (Inport Only) (W)","MAYPORT, FL","DEL - Cooperstown LCS 23 (RT) (Inport Only) (W)","[""TRIAL""]","RT","5/6/2025","5/6/2025","6","1","-5/1/2025: Deleted from INSURV Schedule.

-4/16/25: Executing this inspection in-port only.

-3/20/25: Days changed to W only.

-2/25/25: Rescheduled to week of 05 MAY 25.

-UPDATE 11/13/24: Rescheduled to week of 21 APR 25.

<p>-UPDATE 4/24/24&#58; RESCHEDULED TO WEEK OF 13 JAN 25.<br></p><p>-UPDATE 1/31/24&#58; RESCHEDULED TO WEEK OF 12 AUG 24.<br></p><p>​Added 11/21/23.<br></p>","[""DEL""]","Thompson, Antonio D LCDR USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 23","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS23_COOPERSTOWN?csf=1&web=1&e=7RamfH"
"143","5/5/2025","YOS 33, YON 318, YON 324, YON 330, YOS 331 (MI) (W-F)","Portsmouth, VA","YOS 33, YON 318, YON 324, YON 330, YOS 331 (MI) (W-F)","[""B&C""]","B&C MI","5/6/2025","5/8/2025","5","3","-3/20/25: Days changed to W-F.

Added 8/1/24.",,"Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"144","5/5/2025","YC 1672, YC 1673 (MI) (W-F)","Norfolk, VA ","YC 1672, YC 1673 (MI) (W-F)","[""B&C""]","B&C MI","5/6/2025","5/8/2025","3","3","-3/20/25: Days changed to W-F.

Added 8/1/24.",,"Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"145","5/12/2025","EOD 1 Audit","WA","EOD 1 Audit","[""BOAT AUDIT""]","Boat Audit","5/11/2025","5/15/2025","1","5","Added 8/1/24.",,,,,,,
"146","5/12/2025","YTT 11 (MI) (M-Th)","Silverdale, WA","YTT 11 (MI) (M-Th)","[""B&C""]","B&C MI","5/11/2025","5/14/2025","10","4","Added 4/16/25. ",,"Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,"Y",,,
"147","5/12/2025","APL 62 (MI) (Tu-Th)","SILVERDALE, WA","APL 62 (MI) (Tu-Th)","[""B&C""]","B&C MI","5/12/2025","5/14/2025","10","3","-4/16/25: Removed YTT 11.

- UPDATE 1/22/25: Removed YC 1674, YTT 10, added YTT 11.

-UPDATE 12/19/24: Added APL 62 and YC 1674.

-UPDATE 8/1/24: Rescheduled to 12 MAY 25.

ADDED 7/18/24.","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)","Medina, Christopher A CIV USN PRESINSURV VA BCH VA (USA)","Y",,,
"148","5/12/2025","SSBN (MI) (Tu-F)","BANGOR, WA","SSBN (MI) (Tu-F)","[""SUB""]","MI","5/12/2025","5/15/2025","13","4","-UPDATE 1/10/25: Rescheduled to week of 12 MAY 25.

ADDED 7/24/24.","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA);Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)","Arnette, Johnny M III LCDR USN PRESINSURV VA BCH VA (USA)",,"[""NWRMC""]",,
"149","5/19/2025","POINT LOMA T-EPF 15, AT (Su/M-F)","MOBILE, AL","POINT LOMA T-EPF 15, AT (Su/M-F)","[""TRIAL""]","AT","5/17/2025","5/22/2025","25","6","-4/16/25: Day zero being executed on 18 MAY 25.

-2/25/25: Rescheduled to week of 19 MAY 25.

-UPDATE 12/19/24: Rescheduled to week of 21 APR 25.

-UPDATE 11/26/24: Rescheduled to week of 14 APR 25.

-UPDATE 11/6/24: Days changed to Su/M-F.

<p>​ADDED 12/19/23.<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA);Wells, Christopher K CAPT USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","T-EPF 15","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/EPF%20CASE/EPF15_POINT_LOMA?csf=1&web=1&e=ZdWbLp"
"150","5/19/2025","EODESU 2 Audit","Little Creek, VA","EODESU 2 Audit","[""BOAT AUDIT""]","Boat Audit","5/18/2025","5/22/2025","1","5","Added 8/1/24.",,,,,,,
